,secs,x,y,delay
188,1433753655,14.2776812528,33.4087938521,2.73
189,1433753656,14.1516827561,33.6150732821,2.73
190,1433753656,14.1516827561,33.6150732821,2.72
191,1433753657,14.1516827561,33.6150732821,2.68
192,1433753658,14.1516827561,33.6150732821,12.8
193,1433753658,14.1320730458,33.6349240972,2.72
194,1433753659,14.1331201624,33.6149084203,2.73
195,1433753659,14.1202740579,33.6289621655,2.62
196,1433753660,14.1235194617,33.6084912549,2.72
197,1433753660,14.1379831695,33.5982193059,2.76
198,1433753661,14.3259492485,33.3949422856,4.14
199,1433753661,14.3259492485,33.3949422856,2.67
200,1433753662,14.5452020968,33.1657986008,2.69
201,1433753662,14.7240955858,32.9560983979,4.1
202,1433753663,14.8920583661,32.6844274946,2.71
203,1433753663,15.1203612572,32.5140917045,2.73
204,1433753664,15.3810762942,32.252900399,3.16
205,1433753664,15.3810762942,32.252900399,2.72
206,1433753665,15.872450388,31.9324009749,2.72
207,1433753666,16.130939446,31.7731279315,2.77
208,1433753666,16.2965766177,31.5865518608,2.77
209,1433753667,16.5578333731,31.3884648985,2.72
210,1433753667,16.7888929119,31.1866158353,2.73
211,1433753668,16.7888929119,31.1866158353,2.63
212,1433753668,17.0634645149,31.0087480489,5.44
213,1433753669,17.259408853,30.8423994337,2.71
214,1433753669,17.259408853,30.8423994337,2.72
215,1433753670,17.259408853,30.8423994337,2.77
216,1433753670,17.259408853,30.8423994337,3.76
217,1433753671,17.259408853,30.8423994337,2.95
218,1433753671,17.259408853,30.8423994337,2.7
219,1433753672,17.3612030084,30.7290306828,2.72
220,1433753672,17.3690073956,30.7145843313,2.7
221,1433753673,17.3690073956,30.7145843313,2.68
222,1433753673,17.3670717632,30.72790874,2.67
223,1433753674,17.1539516779,30.7681488599,2.68
224,1433753674,16.9064490695,30.7664470529,2.73
225,1433753675,16.665722938,30.7711846579,2.74
226,1433753675,16.3966571588,30.7657780544,2.97
227,1433753676,16.1408632369,30.7532328877,2.72
228,1433753676,15.9225789953,30.6724640433,4.77
229,1433753677,15.663698462,30.6627359587,4.37
230,1433753677,15.4424498627,30.6508078433,4.33
231,1433753678,15.2148007945,30.5675786273,4.9
232,1433753678,14.9756810905,30.5124459353,2.89
233,1433753679,14.7396551505,30.4363436852,2.72
234,1433753679,14.5023101537,30.3968792088,2.94
235,1433753680,14.288054653,30.3672921115,2.76
236,1433753680,14.0635913856,30.4376774332,2.75
237,1433753681,14.0635913856,30.4376774332,2.71
238,1433753681,14.0635913856,30.4376774332,2.83
239,1433753682,14.0635913856,30.4376774332,2.68
240,1433753682,14.0635913856,30.4376774332,2.71
241,1433753683,13.8616907172,30.44372406,2.88
242,1433753683,13.8616907172,30.44372406,2.71
243,1433753684,13.8616907172,30.44372406,2.72
244,1433753684,13.8616907172,30.44372406,2.76
245,1433753685,13.8616907172,30.44372406,6.77
246,1433753685,13.8616907172,30.44372406,2.88
247,1433753686,13.8616907172,30.44372406,2.74
248,1433753686,13.8616907172,30.44372406,2.73
249,1433753687,13.8616907172,30.44372406,2.77
250,1433753687,13.8234785956,30.4570195415,3.13
251,1433753688,13.8234785956,30.4570195415,3.11
252,1433753688,13.8169046524,30.3738609273,2.69
253,1433753689,13.8054241141,30.3140233054,2.65
254,1433753689,13.8116034052,30.3105631444,2.69
255,1433753690,13.8116034052,30.3105631444,2.73
256,1433753690,14.2503126954,30.3794155866,2.75
257,1433753691,14.5051392305,30.4547284906,2.77
258,1433753691,14.727007386,30.4693934386,2.7
259,1433753692,14.9820988032,30.5020257703,2.72
260,1433753692,15.0220226619,30.4967930034,3.01
261,1433753693,15.28488193,30.5149129318,2.74
262,1433753693,15.5044793743,30.5750586745,2.7
263,1433753694,15.7369761926,30.5520874832,2.72
264,1433753694,15.9947623676,30.5842949562,3.33
265,1433753695,16.240570333,30.6376874768,2.74
266,1433753695,16.4458356898,30.5997295067,2.72
267,1433753696,16.4458356898,30.5997295067,2.71
268,1433753696,16.4458356898,30.5997295067,2.73
269,1433753697,16.5194574676,30.5604251754,2.81
270,1433753697,16.5412781066,30.5555174851,2.66
271,1433753698,16.5162584179,30.3448437761,2.76
272,1433753698,16.5073765107,30.0603279716,2.74
273,1433753699,16.4824915596,29.8033179018,3.06
274,1433753699,16.4497745883,29.515059493,4.53
275,1433753700,16.4609383488,29.2990894694,2.72
276,1433753700,16.4866975854,29.1287712757,2.65
277,1433753701,16.4926980932,29.115245455,2.73
278,1433753701,16.4926980932,29.115245455,3.07
279,1433753702,16.4926980932,29.115245455,2.69
280,1433753702,16.4926980932,29.115245455,2.69
281,1433753703,16.4926980932,29.115245455,2.79
282,1433753703,16.4926980932,29.115245455,2.97
283,1433753704,16.4926980932,29.115245455,2.77
284,1433753704,16.4926980932,29.115245455,2.73
285,1433753705,16.4926980932,29.115245455,2.88
286,1433753705,16.5091716805,28.8740274542,2.84
287,1433753706,16.6665115585,28.6843387862,2.72
288,1433753706,16.718653899,28.4516547142,2.7
289,1433753707,16.7434063897,28.2210000521,2.73
290,1433753707,16.8284301557,27.9606391235,2.98
291,1433753708,16.8284301557,27.9606391235,3.05
292,1433753708,16.8097312733,27.7647165143,2.73
293,1433753709,16.8097312733,27.7647165143,3.06
294,1433753709,16.7849240064,27.7174526178,2.66
295,1433753710,16.8018749013,27.7370349084,2.88
296,1433753710,16.8018749013,27.7370349084,2.71
297,1433753711,16.7712314073,27.7000622358,2.61
298,1433753711,16.8015299359,27.7302216401,2.91
299,1433753712,16.7495680821,28.0160875972,2.83
300,1433753712,16.6761997399,28.2216185381,3.02
301,1433753713,16.6049107476,28.4407831736,2.75
302,1433753713,16.5579529702,28.6613514482,2.9
303,1433753714,16.5090801775,28.9028937016,2.79
304,1433753714,16.4405339579,29.1342779603,2.61
305,1433753715,16.3694648658,29.34863425,2.92
306,1433753715,16.3022766679,29.5976200794,4.2
307,1433753716,16.2070583554,29.8225783386,2.67
308,1433753716,16.1233060048,30.0483556213,2.71
309,1433753717,16.0332057209,30.2976088959,2.92
310,1433753717,15.9674438529,30.476363757,4.26
311,1433753718,15.8752937129,30.6888356915,2.89
312,1433753718,15.78289399,30.9339325594,3.11
313,1433753719,15.6978950882,31.1431556237,2.68
314,1433753719,15.6183294919,31.3658213696,2.64
315,1433753720,15.5246027416,31.620511917,6.49
316,1433753720,15.4937594186,31.8127799553,2.71
317,1433753721,15.3451326229,32.0701098381,2.73
318,1433753721,15.2795067712,32.3199881699,2.83
319,1433753722,15.1725168264,32.5519572752,2.65
320,1433753722,15.1403120042,32.7994431136,2.71
321,1433753723,15.0364545512,32.9978177334,2.84
322,1433753723,14.9688880776,33.2451554816,2.59
323,1433753724,14.8519250686,33.4733909498,2.75
324,1433753724,14.8519250686,33.4733909498,2.85
325,1433753725,14.7928478525,33.6753903141,2.7
326,1433753725,14.7928478525,33.6753903141,2.67
327,1433753726,14.7928478525,33.6753903141,2.73
328,1433753726,14.7928478525,33.6753903141,2.69
329,1433753727,14.7928478525,33.6753903141,2.73
330,1433753727,14.7725637643,33.7578416097,2.89
331,1433753728,14.7796757012,33.7623373876,2.75
332,1433753728,14.7452981112,33.8128718611,2.71
333,1433753729,14.7452981112,33.8128718611,2.7
334,1433753729,14.7452981112,33.8128718611,2.67
335,1433753730,14.7468866253,33.8259903286,2.75
336,1433753730,14.7468866253,33.8259903286,2.72
337,1433753731,14.7468866253,33.8259903286,2.74
338,1433753731,14.7468866253,33.8259903286,2.67
339,1433753732,14.7468866253,33.8259903286,2.75
340,1433753732,14.7468866253,33.8259903286,2.74
341,1433753733,14.7468866253,33.8259903286,2.74
342,1433753733,14.7468866253,33.8259903286,2.7
343,1433753743,14.7468866253,33.8259903286,2.76
344,1433753744,14.7468866253,33.8259903286,2.7
345,1433753744,14.7468866253,33.8259903286,2.74
346,1433753745,14.7468866253,33.8259903286,2.72
347,1433753745,14.7468866253,33.8259903286,2.74
348,1433753746,14.7468866253,33.8259903286,2.72
349,1433753746,14.7468866253,33.8259903286,2.59
350,1433753747,14.7468866253,33.8259903286,3.32
351,1433753747,14.7468866253,33.8259903286,2.75
352,1433753748,14.7468866253,33.8259903286,4.45
353,1433753748,14.7468866253,33.8259903286,2.72
354,1433753749,14.7468866253,33.8259903286,2.67
355,1433753749,14.7468866253,33.8259903286,2.59
356,1433753750,14.9080777887,33.5977902605,11.0
357,1433753750,15.1140661244,33.4125441571,2.67
358,1433753751,15.3342087406,33.2543496205,2.73
359,1433753751,15.6155863514,33.1304151181,2.64
360,1433753752,15.8395566118,32.9434349406,2.71
361,1433753752,15.8395566118,32.9434349406,2.67
362,1433753753,15.8395566118,32.9434349406,2.71
363,1433753753,16.0367593977,32.7980757662,2.64
364,1433753754,16.0367593977,32.7980757662,3.41
365,1433753754,16.0367593977,32.7980757662,2.65
366,1433753755,16.0367593977,32.7980757662,2.69
367,1433753755,16.0367593977,32.7980757662,2.75
368,1433753756,16.0367593977,32.7980757662,2.71
369,1433753756,16.0367593977,32.7980757662,4.84
370,1433753757,16.0367593977,32.7980757662,2.76
371,1433753757,16.1197903751,32.6310400481,3.49
372,1433753758,16.1149633286,32.3655808204,2.71
373,1433753758,16.1282621714,32.1366095021,3.64
374,1433753759,16.1421037775,31.9014119708,2.7
375,1433753759,16.1478445409,31.6465118042,2.88
376,1433753760,16.1174971288,31.4220065342,2.75
377,1433753760,16.1737411302,31.1479129958,2.69
378,1433753761,16.2351314956,30.8783950285,4.8
379,1433753761,16.2560294396,30.6524609574,2.99
380,1433753762,16.2599500852,30.4852540246,3.35
381,1433753762,16.256022743,30.2825408532,2.69
382,1433753763,16.256022743,30.2825408532,3.81
383,1433753763,16.256022743,30.2825408532,2.69
384,1433753764,16.235535925,30.0454889766,2.81
385,1433753764,16.235535925,30.0454889766,2.68
386,1433753765,16.235535925,30.0454889766,2.67
387,1433753765,16.235535925,30.0454889766,3.18
388,1433753766,16.235535925,30.0454889766,2.92
389,1433753766,16.235535925,30.0454889766,2.7
390,1433753767,16.235535925,30.0454889766,2.71
391,1433753767,16.235535925,30.0454889766,2.67
392,1433753768,16.235535925,30.0454889766,2.75
393,1433753768,16.38364068,29.5860644835,2.67
394,1433753769,16.3875149505,29.5357056773,3.19
395,1433753769,16.3917444252,29.2948297764,2.81
396,1433753770,16.3591420337,29.0617715509,2.71
397,1433753770,16.376133237,28.8490669273,2.74
398,1433753771,16.3992204789,28.6075343332,2.76
399,1433753771,16.3586968394,28.3358183963,2.68
400,1433753772,16.3840961286,28.0634701862,2.69
401,1433753772,16.3913114667,27.8254713346,2.7
402,1433753773,16.3998788401,27.5888810037,3.39
403,1433753773,16.3998788401,27.5888810037,2.68
404,1433753774,16.3998788401,27.5888810037,2.73
405,1433753774,16.3998788401,27.5888810037,2.81
406,1433753775,16.3998788401,27.5888810037,4.38
407,1433753775,16.3998788401,27.5888810037,2.77
408,1433753776,16.3998788401,27.5888810037,2.7
409,1433753776,16.3661379258,27.3702299307,3.75
410,1433753777,16.3661379258,27.3702299307,2.76
411,1433753777,16.1453466473,27.3616889197,6.16
412,1433753778,16.1453466473,27.3616889197,2.9
413,1433753778,15.9226532438,27.3806231767,4.37
414,1433753779,15.9226532438,27.3806231767,2.58
415,1433753779,15.9226532438,27.3806231767,2.73
416,1433753780,15.9226532438,27.3806231767,2.73
417,1433753780,15.9226532438,27.3806231767,2.68
418,1433753781,15.9226532438,27.3806231767,2.69
419,1433753781,15.9226532438,27.3806231767,2.83
420,1433753782,16.1382523182,27.4000490867,2.68
421,1433753782,16.1382523182,27.4000490867,2.73
422,1433753783,16.1382523182,27.4000490867,2.73
423,1433753783,16.2339578704,27.6358703257,2.71
424,1433753784,16.2339578704,27.6358703257,2.93
425,1433753784,16.4289074402,27.6521892279,3.21
426,1433753785,16.4289074402,27.6521892279,2.71
427,1433753785,16.647805011,27.650293306,3.02
428,1433753786,16.881104925,27.6525760811,4.92
429,1433753786,16.881104925,27.6525760811,2.76
430,1433753787,17.1156553704,27.6622096892,2.73
431,1433753787,17.1156553704,27.6622096892,2.71
432,1433753788,17.1156553704,27.6622096892,2.76
433,1433753788,17.2496117207,27.8546543069,3.69
